PERMNO,date,PRC
12490,20070103,97.27000
12490,20070104,98.31000
12490,20070105,97.42000
12490,20070108,98.90000
12490,20070109,100.07000
12490,20070110,98.89000
12490,20070111,98.65000
12490,20070112,99.34000
12490,20070116,100.82000
12490,20070117,100.02000
12490,20070118,99.45000
12490,20070119,96.17000
12490,20070122,97.11000
12490,20070123,97.08000
12490,20070124,97.40000
12490,20070125,97.51000
12490,20070126,97.45000
12490,20070129,98.54000
12490,20070130,99.37000
12490,20070131,99.15000
12490,20070201,99.00000
12490,20070202,99.17000
12490,20070205,100.38000
12490,20070206,99.85000
12490,20070207,99.54000
12490,20070208,99.62000
12490,20070209,98.55000
12490,20070212,98.58000
12490,20070213,98.29000
12490,20070214,99.20000
12490,20070215,98.92000
12490,20070216,98.99000
12490,20070220,99.35000
12490,20070221,99.09000
12490,20070222,98.50000
12490,20070223,97.73000
12490,20070226,96.91000
12490,20070227,93.96000
12490,20070228,92.94000
12490,20070301,92.27000
12490,20070302,90.90000
12490,20070305,91.81000
12490,20070306,93.80000
12490,20070307,93.94000
12490,20070308,93.00000
12490,20070309,93.28000
12490,20070312,94.11000
12490,20070313,92.71000
12490,20070314,93.76000
12490,20070315,93.45000
12490,20070316,93.25000
12490,20070319,93.99000
12490,20070320,94.50000
12490,20070321,95.36000
12490,20070322,95.19000
12490,20070323,95.03000
12490,20070326,95.00000
12490,20070327,94.73000
12490,20070328,94.26000
12490,20070329,94.57000
12490,20070330,94.26000
12490,20070402,95.21000
12490,20070403,96.10000
12490,20070404,96.21000
12490,20070405,96.52000
12490,20070409,96.62000
12490,20070410,96.46000
12490,20070411,95.16000
12490,20070412,95.67000
12490,20070413,94.93000
12490,20070416,96.18000
12490,20070417,97.12000
12490,20070418,94.80000
12490,20070419,94.29000
12490,20070420,94.58000
12490,20070423,95.21000
12490,20070424,98.49000
12490,20070425,101.46000
12490,20070426,100.90000
12490,20070427,101.17000
12490,20070430,102.21000
12490,20070501,103.17000
12490,20070502,102.22000
12490,20070503,102.80000
12490,20070504,102.96000
12490,20070507,103.16000
12490,20070508,103.29000
12490,20070509,104.38000
12490,20070510,104.68000
12490,20070511,105.98000
12490,20070514,105.57000
12490,20070515,104.83000
12490,20070516,105.87000
12490,20070517,105.31000
12490,20070518,107.99000
12490,20070521,107.04000
12490,20070522,106.70000
12490,20070523,105.58000
12490,20070524,103.95000
12490,20070525,105.18000
12490,20070529,105.91000
12490,20070530,106.93000
12490,20070531,106.60000
12490,20070601,106.54000
12490,20070604,106.23000
12490,20070605,105.84000
12490,20070606,102.41000
12490,20070607,101.80000
12490,20070608,103.07000
12490,20070611,103.22000
12490,20070612,102.34000
12490,20070613,103.12000
12490,20070614,103.85000
12490,20070615,105.09000
12490,20070618,105.33000
12490,20070619,106.50000
12490,20070620,106.00000
12490,20070621,106.60000
12490,20070622,104.44000
12490,20070625,105.10000
12490,20070626,105.33000
12490,20070627,105.43000
12490,20070628,105.95000
12490,20070629,105.25000
12490,20070702,105.01000
12490,20070703,106.58000
12490,20070705,108.05000
12490,20070706,109.03000
12490,20070709,108.97000
12490,20070710,108.63000
12490,20070711,109.10000
12490,20070712,109.28000
12490,20070713,108.60000
12490,20070716,109.66000
12490,20070717,110.77000
12490,20070718,111.08000
12490,20070719,115.86000
12490,20070720,114.81000
12490,20070723,116.38000
12490,20070724,116.17000
12490,20070725,118.10000
12490,20070726,116.53000
12490,20070727,115.62000
12490,20070730,114.52000
12490,20070731,110.65000
12490,20070801,112.04000
12490,20070802,113.23000
12490,20070803,111.89000
12490,20070806,113.89000
12490,20070807,113.53000
12490,20070808,112.98000
12490,20070809,110.73000
12490,20070810,112.64000
12490,20070813,112.71000
12490,20070814,112.05000
12490,20070815,111.23000
12490,20070816,109.69000
12490,20070817,110.90000
12490,20070820,109.22000
12490,20070821,109.04000
